Month,Fuel Oil Consumption(Predicted),Cooling Degree Days U.S. Average,Heating Degree Days U.S. Average ,Fuel Oil Consumption(Actual)
1,0.894623823,0.00306748,0.79515641,0.97
2,1.0498692705,0.0099750623,2.4064837905,0.84
3,0.640267184,0.0124688279,1.9027431421,0.63
4,0.4285914695,0.0648379052,1.2344139651,0.49
5,0.396877043,0.0648379052,0.7705735661,0.35
6,0.297865658,0.3291770574,0.2842892768,0.34
7,0.4002439967,0.4962593516,0.0947630923,0.32
8,0.3739506806,0.7256857855,0.0149625935,0.36
9,0.4499429068,0.6109725686,0.0473815461,0.39
10,0.4599945219,0.4189526185,0.1246882793,0.46
11,0.5417091651,0.1620947631,0.6408977556,0.55
12,0.621663434,0.0399002494,1.2319201995,0.73
1,0.8168519834,0.0074812968,1.9925187032,0.79
2,0.7619041276,0.0199501247,2.1246882793,0.75
3,0.6552426208,0.0149625935,1.6733167082,0.65
4,0.5391801417,0.0274314214,1.6059850374,0.42
5,0.2721549606,0.0548628429,0.7780548628,0.38
6,0.4039200791,0.1995012469,0.4713216958,0.35
7,0.3891447086,0.6009975062,0.0698254364,0.3
8,0.3352553446,0.9027431421,0.0024937656,0.37
9,0.4775794351,0.8528678304,0.0124688279,0.38
10,0.433830567,0.5137157107,0.0997506234,0.41
11,0.4689406364,0.1321695761,0.5985037406,0.54
12,0.6370845978,0.0448877805,1.1720698254,0.73
1,0.8234054249,0.0074812968,2.144638404,0.7
2,0.6258812272,0.0274314214,1.7082294264,0.75
3,0.7274617716,0.0074812968,1.7980049875,0.65
4,0.5442275965,0.0448877805,1.4962593516,0.39
5,0.2371416911,0.1296758105,0.6783042394,0.32
6,0.34151033,0.2643391521,0.349127182,0.28
7,0.3332294393,0.5735660848,0.0573566085,0.26
8,0.3294075355,0.9451371571,0,0.3
9,0.3991210041,0.812967581,0.0224438903,0.3
10,0.3638839009,0.3266832918,0.2094763092,0.37
11,0.4642249582,0.1097256858,0.7680798005,0.44
12,0.5129194874,0.029925187,1.1795511222,0.49
1,0.5308976618,0.0249376559,1.7182044888,0.74
2,0.8698041575,0.0224438903,2.0872817955,0.92
3,0.9583602727,0.0099750623,2.0872817955,0.66
4,0.4195333226,0.072319202,1.2394014963,0.47
5,0.3516747497,0.0548628429,0.9251870324,0.32
